1.0;1;1;@DcaValle @SAT_tienda Donde los robas y pegas a las dependientas maricon de mierda . Si hubiera justicia te ibas a pasear tú , pudremita , vago sucio , pero cazador . Que ejemplo , no me estraña que Andalucia este asi , con sinverguenzas como este que le votan . A TRABAJAR_MALEANTE .
-1.0;1;1;@amonterosoler @fatimaempleo Bueno como diputado y como economista . Pesimo_SG_de_el_CCM_Malaga
1.0;1;0;@ccifuentes A_pesar_de ti cumplen xq son profesionales responsables . Asi , pues no t apuntes el tanto . . ya t conocemos falsa arpia .
1.0;-1;-1;@rosalcoy @monicaoltra Ostres , ves i estudia ... es tracta de comprensió lectora . No parlem d'idees polítiques .
1.0;1;0;Por_supuesto es “ ha comenzado ” 🙈
1.0;1;1;@LuisFuentesCs @CiudadanosCs Pero mantienen a el gobierno más rancio de toda EUROPA ... https://t.co/9FoSLKvpbv
1.0;1;0;@asierantona Yo lo que espero que en el próximo año , tengamos un presidente de el PP en Canarias que no mienta y que tenga más cintura política . Un presidente que no tenga a el PP_de_Canarias en GAYUMBOS https://t.co/eq4ZuwUDfu
-1.0;1;-1;@QuintanillaCarm @mdcospedal A ver si es verdad .
1.0;1;1;@carlesral @cupnacional Demaneu “ compromís ” pero de mientras a apoyarles otra vez a formar gobierno . 😂 😂 😂
-1.0;1;0;@amonterosoler @Podemos_AND LO_QUE_NOI_SE_COMPRENDE_ES_QUE_UN_BANCO_NAZIONALIZADO , SUS_DIRECTIVOS_COBREN_SUELDO_DESPROPOSITADOS , ES_UNA_VERGUENZA , CUANDO_CONPRENDEREMOS_QUE_SOLO_NOS_ESTAFAN .
-1.0;1;1;@CsFernavarro @VCAM63 Fascistas llamando fascistas a sus víctimas . Eso es lo que son esta gentuza .
-1.0;1;0;@RafaCatalaPolo @elpais_tec Ósea se unen contra el A_POR_ELLOS y contra la violencia policial de el 1_de_octubre y contra la cueva de ladrones y corruptos que es el PP y contra la utilización de jueces como MARIONETAS
1.0;1;1;@ximopuig Ximo subnormal torna't a Morella i xapa , que callaet eres mes guapo
1.0;-1;-1;@isabelbonig Y cuando se esta en el otro lado más aún , España es generosa en todo . Dona Vida .
1.0;1;-1;@TeresaRodr_ Gilipollas
1.0;-1;1;@LopezMirasF Después_de agradecer la gestión y el esfuerzo que realizáis , voy a reiterar mi malestar y digo reiterar puesto que desde hace años , en repetidas ocasiones he pedido que se comunique e invite a todos los municipios de la región a éstas reuniones , no solo a el taxi San_Javier 🚕
1.0;1;1;@franferri_ Demaneu que tornen els dines de el prucés també ja que estem , aixina ja que heu tornen tot #TodosAUna
1.0;-1;1;@Albiol_XG @Albert_Rivera No necesita nuestro apoyo para el subgrupo , solo para la pasta ... Verdad 😎 😎 https://t.co/R2URY3WHyJ
1.0;-1;0;@JA_DelgadoRamos @jusapol Y esta declaración es como Guardia_Civil en excedencia o como diputado de Podemos , porque son cosas que deberían ser antagonistas . Yo jamás iría de_la_mano_de quien alaba y defiende a alguien que mató a un compañero . Demasiada demagogia y fotos para la galería .
1.0;-1;-1;@abeltran_ana @PPopular Abuso_de_el_Euskera ? Eing ?
-1.0;-1;0;@IsabelPodemos @JA_DelgadoRamos Siempre_GRACIAS ! !
1.0;1;-1;@isaserras @ccifuentes Estaria bien saber si mando los datos , por_si_acaso si tiene a bien se los solicito , puede ud. enviarme esos datos ? , si necesita una cuenta de correo me lo traslada y se la hago llegar , estoy deseoso de estudiarlos seguro que son datos " rigurosos " y avalados por ... faes ? .
1.0;1;0;@DcaValle Además_de robado , me has salido filósofo . Ya has cumplido todas tus condenas ?
1.0;-1;1;@ximopuig Porque_SCC no desprecia el catalán ...
-1.0;1;1;@juanmarin_cs @Cs_Andalucia A_partir_de ahora o se puede alegar pasadas herencias ?
1.0;1;1;@DcaValle Además_de robado , me has salido filósofo . Ya has cumplido todas tus condenas ?
